sn,key_topic_id,key_topic,performance_signals_id,performance_signals,performance_signals_weightage,document_reques_id,document_request,interview_question_id,interview_question,data_point_id,data_point,assesment_criteria_id,assessment_criteria,assessment_criteria_weightage,assessment_guidelines/formula,scoring_matrix,scoring_matrix_1,scoring_matrix_2,scorecard_visualization,none,section_id,input_type,devco_id,description,default_value
175,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,,,DC-IQ-27,"What are the challenges preventing leadership safety walks, what measures have you undertaken to resolve the challenges?",DC-DP-175,Total number of Safety Walks (No.),DC-AC-43,Leadership Safety Walk Rate,0.15,Total number of Safety Walks with Leadership / Total number of Safety Walks,>70%,50-70%,<50%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
176,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,,,DC-IQ-27,"What are the challenges preventing leadership safety walks, what measures have you undertaken to resolve the challenges?",DC-DP-176,Total number of Safety Walks with Leadership (No.),DC-AC-43,Leadership Safety Walk Rate,0.15,Total number of Safety Walks with Leadership / Total number of Safety Walks,>70%,50-70%,<50%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
177,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,,,DC-IQ-27,"What are the challenges preventing leadership safety walks, what measures have you undertaken to resolve the challenges?",DC-DP-177,Challenges preventing Leadership Safety Walks (Text) ,,,,,,,,Archived,,Development & Construction,Text,admin,,
178,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,,,DC-IQ-27,"What are the challenges preventing leadership safety walks, what measures have you undertaken to resolve the challenges?",DC-DP-178,Measures undertaken to resolve the challenges of Leadership Safety Walks' hindrances (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
#REF!,DC-KT-04,HSE and Welfare,DC-PS-08,Welfare Compliance,0.5,62.0,Latest Monthly Welfare Monitoring Report,DC-IQ-28,What measures has the DevCo taken to improve responsiveness and backlog management? Provide an example of implementation,DC-DP-179,Number of grievances closed (No.),DC-AC-44,% of Grievances Closed,0.15,Number of grievances closed / Total number of grievances,>80%,60-80%,<60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
180,DC-KT-04,HSE and Welfare,DC-PS-08,Welfare Compliance,0.5,62.0,Latest Monthly Welfare Monitoring Report,DC-IQ-28,What measures has the DevCo taken to improve responsiveness and backlog management? Provide an example of implementation,DC-DP-180,Total number of grievances (No.),DC-AC-44,% of Grievances Closed,0.15,Number of grievances closed / Total number of grievances,>80%,60-80%,<60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
,DC-KT-04,HSE and Welfare,DC-PS-08,Welfare Compliance,0.5,62.0,Latest Monthly Welfare Monitoring Report,DC-IQ-28,What measures has the DevCo taken to improve responsiveness and backlog management? Provide an example of implementation,DC-DP-181,Cycle time to close grievances (No.),DC-AC-45,Average Cycle Time to Close Grievances,0.1,Sum (Cycle time to close grievances) / Total number of grievances,<14 days,14-28 days,>28 days,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
182,DC-KT-04,HSE and Welfare,DC-PS-08,Welfare Compliance,0.5,62.0,Latest Monthly Welfare Monitoring Report,DC-IQ-28,What measures has the DevCo taken to improve responsiveness and backlog management? Provide an example of implementation,DC-DP-182,Number of welfare staff (No.),,,,,,,,Used for Dashboard,,Development & Construction,No.,admin,,
183,DC-KT-04,HSE and Welfare,DC-PS-08,Welfare Compliance,0.5,62.0,Latest Monthly Welfare Monitoring Report,DC-IQ-28,What measures has the DevCo taken to improve responsiveness and backlog management? Provide an example of implementation,DC-DP-183,Total Number of Staff (No.),,,,,,,,Used for Dashboard,,Development & Construction,No.,admin,,
,DC-KT-04,HSE and Welfare,DC-PS-08,Welfare Compliance,0.5,62.0,Latest Monthly Welfare Monitoring Report,DC-IQ-28,What measures has the DevCo taken to improve responsiveness and backlog management? Provide an example of implementation,DC-DP-184,Percentage of Welfare Staff against total staff (%),DC-AC-46,% of Welfare Staff vs Total workforce,0.2,Number of Welfare Staff / Total Number of Staff,>2%,1-2%,<1%,Used for Assessment,,Development & Construction,%,admin,,
185,DC-KT-04,HSE and Welfare,DC-PS-08,Welfare Compliance,0.5,62.0,Latest Monthly Welfare Monitoring Report,DC-IQ-28,What measures has the DevCo taken to improve responsiveness and backlog management? Provide an example of implementation,DC-DP-185,Total Site Manhours (No.),,,,,,,,Used for Dashboard,,Development & Construction,No.,admin,,
,DC-KT-04,HSE and Welfare,DC-PS-08,Welfare Compliance,0.5,63.0,Welfare Management Manual (including Vendor Management & Monitoring Program),DC-IQ-29,What actions has the DevCo taken to overcome weak engagement for reporting welfare observations? Provide an example of implementation,DC-DP-186,Welfare policy (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
187,DC-KT-04,HSE and Welfare,DC-PS-08,Welfare Compliance,0.5,64.0,Latest Welfare Audit Report ,,,DC-DP-187,Total number of Welfare Observations (No.),DC-AC-47,% closed welfare observations or red flag if 0 observations ,0.1,Number of Welfare Observations Closed / Total number of Welfare Observations,>60%,40-60%,<40% ; no observations recorded,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
188,DC-KT-04,HSE and Welfare,DC-PS-08,Welfare Compliance,0.5,64.0,Latest Welfare Audit Report ,,,DC-DP-188,Total number of Closed Welfare Observations (No.),DC-AC-47,% closed welfare observations or red flag if 0 observations ,0.1,Number of Welfare Observations Closed / Total number of Welfare Observations,>60%,40-60%,<40% ; no observations recorded,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
,DC-KT-04,HSE and Welfare,DC-PS-08,Welfare Compliance,0.5,64.0,Latest Welfare Audit Report ,,,DC-DP-189,Total Welfare Non-compliances (No.),DC-AC-48,% of Welfare Non-compliances closed,0.1,Total Closed Welfare Non-compliances / Total Welfare Non-compliances,>80%,60-80%,<60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
,DC-KT-04,HSE and Welfare,DC-PS-08,Welfare Compliance,0.5,64.0,Latest Welfare Audit Report ,,,DC-DP-190,Total Closed Welfare Non-compliances (No.),DC-AC-48,% of Welfare Non-compliances closed,0.1,Total Closed Welfare Non-compliances / Total Welfare Non-compliances,>80%,60-80%,<60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
,DC-KT-04,HSE and Welfare,DC-PS-08,Welfare Compliance,0.5,64.0,Latest Welfare Audit Report ,,,DC-DP-191,Cycle time to close Welfare Non-Compliances (No.),DC-AC-49,Average Cycle Time to Close Welfare Non-compliances,0.1,Sum (Cycle time to close Welfare Non-compliances) / Total number of Welfare Non-compliances,<14 days,14-28 days,>28 days,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
192,DC-KT-04,HSE and Welfare,DC-PS-08,Welfare Compliance,0.5,64.0,Latest Welfare Audit Report ,,,DC-DP-192,Welfare of labor camps (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
193,DC-KT-04,HSE and Welfare,DC-PS-08,Welfare Compliance,0.5,64.0,Latest Welfare Audit Report ,,,DC-DP-193,Welfare of site facilities (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
194,DC-KT-04,HSE and Welfare,DC-PS-08,Welfare Compliance,0.5,64.0,Latest Welfare Audit Report ,,,DC-DP-194,Labor accommodation inspection rate (%),,,,,,,,Archived,,Development & Construction,%,admin,,
195,DC-KT-04,HSE and Welfare,DC-PS-08,Welfare Compliance,0.5,,,DC-IQ-30,"Have there been challenges in sourcing qualified HSE&W leaders? If so, what have you done to resolve the shortfall, such as training? Do you maintain a training register? If so, please provide a sample",DC-DP-195,Challenges in sourcing qualified HSE&W leaders (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
196,DC-KT-04,HSE and Welfare,DC-PS-08,Welfare Compliance,0.5,,,DC-IQ-30,"Have there been challenges in sourcing qualified HSE&W leaders? If so, what have you done to resolve the shortfall, such as training? Do you maintain a training register? If so, please provide a sample",DC-DP-196,Measures undertaken to resolve the challenges in sourcing qualified HSE&W leaders (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
197,DC-KT-04,HSE and Welfare,DC-PS-08,Welfare Compliance,0.5,,,DC-IQ-30,"Have there been challenges in sourcing qualified HSE&W leaders? If so, what have you done to resolve the shortfall, such as training? Do you maintain a training register? If so, please provide a sample",DC-DP-197,Training register maintenance (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
198,DC-KT-04,HSE and Welfare,DC-PS-08,Welfare Compliance,0.5,,,DC-IQ-30,"Have there been challenges in sourcing qualified HSE&W leaders? If so, what have you done to resolve the shortfall, such as training? Do you maintain a training register? If so, please provide a sample",DC-DP-198,Regulation Compliance (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
199,DC-KT-04,HSE and Welfare,DC-PS-08,Welfare Compliance,0.5,,,DC-IQ-31,What mitigation measures have been implemented as a result of welfare audit observations & recommendations?,DC-DP-199,Mitigation measures  in the event of welfare audit observations & recommendations (Text),DC-AC-50,Is frequency of Labor Accommodation Inspection occurring in accordance with VMMP?,0.25,Labor accommodation inspection frequency,Yes,,No,Used for Assessment and Dashboard,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
,,,,,,,,,,,,,,,,,,,,,Development & Construction,Text,admin,,
